datetime,timestamp,open,high,low,close,volume
2025-07-07 04:00:00,1751860800000,2577.41,2580.23,2576.04,2580.22,734.5975
2025-07-07 04:05:00,1751861100000,2580.22,2580.64,2576.37,2576.38,1198.5351
2025-07-07 04:10:00,1751861400000,2576.38,2576.97,2572.97,2575.09,1745.0812
2025-07-07 04:15:00,1751861700000,2575.1,2580.01,2574.72,2576.89,1116.9427
2025-07-07 04:20:00,1751862000000,2576.88,2577.29,2573.22,2574.06,826.5331
2025-07-07 04:25:00,1751862300000,2574.06,2575.71,2573.56,2575.35,708.16
2025-07-07 04:30:00,1751862600000,2575.35,2575.6,2573.86,2575.1,367.4057
2025-07-07 04:35:00,1751862900000,2575.1,2575.74,2573.54,2574.0,485.8639
2025-07-07 04:40:00,1751863200000,2574.01,2574.32,2570.16,2571.14,581.4751
2025-07-07 04:45:00,1751863500000,2571.15,2574.45,2570.19,2573.81,488.6856
2025-07-07 04:50:00,1751863800000,2573.81,2574.44,2572.51,2573.2,267.2104
2025-07-07 04:55:00,1751864100000,2573.2,2573.85,2572.87,2573.43,131.0077
2025-07-07 05:00:00,1751864400000,2573.44,2577.41,2572.85,2576.99,851.5847
2025-07-07 05:05:00,1751864700000,2577.0,2577.9,2573.88,2576.89,336.1556
2025-07-07 05:10:00,1751865000000,2576.89,2577.4,2575.04,2575.88,345.3122
2025-07-07 05:15:00,1751865300000,2575.89,2577.0,2573.94,2575.0,423.1176
2025-07-07 05:20:00,1751865600000,2575.0,2576.12,2572.2,2575.87,463.7558
2025-07-07 05:25:00,1751865900000,2575.87,2575.87,2572.25,2572.7,600.8943
2025-07-07 05:30:00,1751866200000,2572.7,2573.43,2569.21,2571.09,658.6097
2025-07-07 05:35:00,1751866500000,2571.08,2574.06,2571.08,2572.77,625.734
2025-07-07 05:40:00,1751866800000,2572.76,2574.83,2572.76,2573.7,522.7174
2025-07-07 05:45:00,1751867100000,2573.7,2573.7,2571.09,2571.75,301.9992
2025-07-07 05:50:00,1751867400000,2571.78,2571.79,2566.36,2566.37,491.6045
2025-07-07 05:55:00,1751867700000,2566.36,2570.2,2566.36,2569.49,1019.9762
2025-07-07 06:00:00,1751868000000,2569.49,2569.87,2563.57,2565.58,1126.5213
2025-07-07 06:05:00,1751868300000,2565.57,2568.32,2565.49,2568.27,389.2889
2025-07-07 06:10:00,1751868600000,2568.27,2571.46,2568.24,2569.32,389.4964
2025-07-07 06:15:00,1751868900000,2569.31,2572.55,2569.31,2571.02,684.9219
2025-07-07 06:20:00,1751869200000,2571.01,2576.77,2570.71,2575.79,1073.857
2025-07-07 06:25:00,1751869500000,2575.78,2576.79,2574.84,2574.86,642.3184
2025-07-07 06:30:00,1751869800000,2574.87,2575.56,2572.5,2573.39,1056.3596
2025-07-07 06:35:00,1751870100000,2573.39,2573.4,2569.19,2569.31,689.4146
2025-07-07 06:40:00,1751870400000,2569.32,2569.93,2565.56,2565.56,672.0253
2025-07-07 06:45:00,1751870700000,2565.56,2567.8,2565.46,2567.36,439.5229
2025-07-07 06:50:00,1751871000000,2567.37,2568.86,2565.57,2565.58,420.7632
2025-07-07 06:55:00,1751871300000,2565.57,2565.9,2563.9,2565.56,885.3073
2025-07-07 07:00:00,1751871600000,2565.57,2567.48,2564.94,2565.56,655.0352
2025-07-07 07:05:00,1751871900000,2565.56,2565.56,2560.0,2564.54,1006.1155
2025-07-07 07:10:00,1751872200000,2564.54,2570.07,2564.43,2569.74,931.2349
2025-07-07 07:15:00,1751872500000,2569.74,2570.83,2566.01,2566.28,690.7841
2025-07-07 07:20:00,1751872800000,2566.28,2570.5,2566.27,2570.35,609.892
2025-07-07 07:25:00,1751873100000,2570.34,2573.47,2570.0,2570.0,651.183
2025-07-07 07:30:00,1751873400000,2570.0,2571.18,2567.03,2570.85,563.984
2025-07-07 07:35:00,1751873700000,2570.85,2574.95,2570.84,2573.32,792.3686
2025-07-07 07:40:00,1751874000000,2573.31,2574.26,2573.25,2573.98,235.9432
2025-07-07 07:45:00,1751874300000,2573.98,2577.0,2573.98,2575.89,759.5896
2025-07-07 07:50:00,1751874600000,2575.88,2579.63,2575.71,2577.99,686.008
2025-07-07 07:55:00,1751874900000,2577.99,2579.13,2577.46,2578.34,594.8433
2025-07-07 08:00:00,1751875200000,2578.33,2579.22,2577.03,2578.15,1712.8182
2025-07-07 08:05:00,1751875500000,2578.16,2578.32,2575.82,2575.83,641.0592
2025-07-07 08:10:00,1751875800000,2575.83,2576.33,2574.6,2574.61,429.8861
2025-07-07 08:15:00,1751876100000,2574.61,2575.03,2570.68,2571.7,1307.205
2025-07-07 08:20:00,1751876400000,2571.69,2574.89,2571.69,2574.81,329.74
2025-07-07 08:25:00,1751876700000,2574.8,2575.41,2573.09,2574.83,362.5827
2025-07-07 08:30:00,1751877000000,2574.84,2578.19,2574.34,2575.61,698.7981
2025-07-07 08:35:00,1751877300000,2575.62,2581.69,2575.62,2581.34,779.1705
2025-07-07 08:40:00,1751877600000,2581.34,2585.5,2580.95,2583.85,2130.0387
2025-07-07 08:45:00,1751877900000,2583.86,2583.99,2578.67,2579.64,1641.8222
2025-07-07 08:50:00,1751878200000,2579.65,2583.55,2579.25,2583.55,677.0827
2025-07-07 08:55:00,1751878500000,2583.54,2588.42,2583.54,2585.13,1103.4733
2025-07-07 09:00:00,1751878800000,2585.13,2585.4,2578.17,2579.36,1369.1612
2025-07-07 09:05:00,1751879100000,2579.37,2580.91,2578.93,2578.95,648.8805
2025-07-07 09:10:00,1751879400000,2578.95,2581.0,2578.95,2579.55,528.6983
2025-07-07 09:15:00,1751879700000,2579.55,2580.16,2575.68,2576.77,954.4059
2025-07-07 09:20:00,1751880000000,2576.78,2577.9,2574.57,2574.58,870.0186
2025-07-07 09:25:00,1751880300000,2574.58,2578.26,2574.58,2578.25,618.6495
2025-07-07 09:30:00,1751880600000,2578.25,2578.73,2574.0,2574.99,668.1417
2025-07-07 09:35:00,1751880900000,2575.0,2577.85,2574.99,2576.84,555.618
2025-07-07 09:40:00,1751881200000,2576.83,2576.84,2574.88,2575.66,1033.8127
2025-07-07 09:45:00,1751881500000,2575.67,2575.67,2566.68,2568.8,2636.8014
2025-07-07 09:50:00,1751881800000,2568.8,2570.86,2568.8,2569.17,566.2059
2025-07-07 09:55:00,1751882100000,2569.18,2572.92,2569.18,2572.27,552.8361
